,Total Streams,Total Hours,Unique Tracks,Unique Artists,Avg Streams/Day,Avg Hours/Day
Weekday,51025,2347.5893966666667,9860,3652,32.91935483870968,1.5145738043010752
Weekend,20027,897.0110572222222,5990,2313,32.777414075286416,1.4681032033096928
