Album,Artist,Total Streams,Total Hours,Unique Tracks,First Listen,Last Listen
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,134,6.4139475,1,2023-06-15 03:56:42+00:00,2024-06-14 17:54:51+00:00
The Carnival,King,133,7.732910277777778,5,2021-08-11 10:09:28+00:00,2025-08-19 22:10:28+00:00
F-1 Trillion,Post Malone,132,5.198151666666667,18,2024-08-18 01:41:36+00:00,2024-12-02 23:51:01+00:00
Believe,When Chai Met Toast,131,5.694576944444444,4,2019-03-08 16:09:44+00:00,2025-08-19 21:24:50+00:00
Gully Boy - Original Motion Picture Soundtrack,Ranveer Singh,128,3.880491388888889,7,2019-02-28 02:48:26+00:00,2022-10-30 14:40:50+00:00
Mohabbat,Kaam Bhaari,128,6.403138611111111,1,2019-10-09 11:31:23+00:00,2025-02-19 08:25:06+00:00
Flicker,Niall Horan,125,6.201426388888889,13,2019-04-02 17:16:38+00:00,2025-08-19 21:27:28+00:00
The Game,Queen,124,5.851114444444445,5,2019-04-03 04:10:14+00:00,2024-10-29 23:39:46+00:00
Parachutes,Coldplay,123,5.725458888888889,8,2020-07-08 11:42:03+00:00,2025-10-09 18:40:30+00:00
Blonde,Frank Ocean,122,5.417714722222223,7,2020-03-20 07:04:44+00:00,2025-03-05 21:18:26+00:00
Metro ... In Dino (Side A),Pritam,121,6.8906761111111114,9,2025-07-16 01:20:01+00:00,2025-10-03 16:35:06+00:00
What I Am,ZAYN,121,6.707050555555556,1,2024-03-15 04:33:23+00:00,2024-06-14 18:10:01+00:00
MTV Unplugged In New York,Nirvana,120,6.911238611111111,3,2019-04-01 16:31:39+00:00,2023-12-30 13:54:40+00:00
Mazaak,Anuv Jain,120,5.876462222222222,1,2022-09-15 19:16:18+00:00,2024-10-26 02:12:59+00:00
Future Nostalgia,Dua Lipa,119,4.995120277777778,9,2020-04-24 18:49:16+00:00,2024-04-13 11:41:24+00:00
The Queen Is Dead,The Smiths,118,6.967625,7,2020-07-14 14:13:04+00:00,2024-10-03 21:33:30+00:00
Divinely Uninspired To A Hellish Extent,Lewis Capaldi,118,4.5871305555555555,6,2019-06-27 11:06:16+00:00,2025-04-30 07:11:26+00:00
The Joshua Tree,U2,117,7.103938888888889,3,2019-03-02 08:01:22+00:00,2024-10-03 21:50:57+00:00
Metro ... In Dino (Side B),Pritam,117,5.5796025,10,2025-09-02 04:33:30+00:00,2025-10-03 00:45:00+00:00
Abbey Road,The Beatles,116,4.714336944444445,8,2019-03-02 08:02:59+00:00,2024-09-20 21:41:04+00:00
Jab We Met,Pritam,114,6.957442222222222,9,2019-10-08 12:37:21+00:00,2025-08-06 21:45:42+00:00
Jaane Tu... Ya Jaane Na,Rashid Ali,113,7.611004444444444,2,2020-10-25 20:16:04+00:00,2025-05-25 17:49:04+00:00
Kesariya,Pritam,112,7.118561111111111,2,2022-07-18 16:13:40+00:00,2024-10-03 03:21:38+00:00
Mourning,Post Malone,112,3.9691594444444442,1,2023-05-25 04:00:35+00:00,2024-04-27 13:22:42+00:00
Vaaqif,The Local Train,112,6.4276744444444445,8,2019-02-28 02:45:23+00:00,2023-01-14 12:51:24+00:00
Bombay Dreams,Taba Chake,111,4.729748888888889,6,2020-05-28 14:29:18+00:00,2024-10-03 03:39:38+00:00
Star Wars: A New Hope - Original Motion Picture Soundtrack,John Williams,111,6.904208333333333,4,2022-03-07 19:13:11+00:00,2024-09-12 01:57:11+00:00
reputation,Taylor Swift,110,4.661362222222222,15,2019-05-21 18:42:36+00:00,2025-07-20 00:43:10+00:00
Scaled And Icy,Twenty One Pilots,110,5.569754166666667,13,2021-06-13 04:31:32+00:00,2022-11-26 10:17:50+00:00
Trampoline (with ZAYN),SHAED,110,4.817809722222222,1,2019-09-27 11:27:25+00:00,2025-06-01 03:49:12+00:00
Plastic Hearts,Miley Cyrus,110,5.619917777777777,15,2020-12-25 20:08:03+00:00,2023-11-23 05:05:46+00:00
After Hours,The Weeknd,109,4.974708888888889,16,2020-04-01 02:53:33+00:00,2025-09-22 04:01:55+00:00
Hatful of Hollow,The Smiths,108,6.376925,5,2020-07-14 14:04:39+00:00,2024-07-11 09:14:23+00:00
Uljhe Hue,Osho Jain,106,3.6270475,4,2022-02-10 21:15:18+00:00,2024-10-03 03:41:31+00:00
